lockedIndex,seedOffset,datasetSeed,method,requestedBudget,actualCoefficients,modelOrder,ridgeLambda,testNRMSE,R2true
11,1011,1020231,nvar_degree_2,513,496,30,1e-06,0.078349750298678,0.993861316628135
11,1011,1020231,nvar_degree_2,1025,990,43,1e-06,0.0654019097311895,0.995722590203513
11,1011,1020231,nvar_degree_2,2049,2016,62,1e-06,0.0693009846563322,0.995197373525663
11,1011,1020231,nvar_degree_3,65,56,5,46.4158883361278,0.80255062141203,0.355912500071164
11,1011,1020231,nvar_degree_3,129,120,7,46.4158883361278,0.800018607301958,0.359970227970635
11,1011,1020231,nvar_degree_3,257,220,9,100,0.798463054931097,0.3624567499101
11,1011,1020231,nvar_degree_3,351,286,10,100,0.800778083812626,0.35875446048538
11,1011,1020231,nvar_degree_3,513,455,12,10,0.364787940663057,0.866929758346806
11,1011,1020231,nvar_degree_3,1025,969,16,4.64158883361278,0.226790657202599,0.948565997805613
11,1011,1020231,nvar_degree_3,2049,2024,21,4.64158883361278,0.150325708316137,0.977402181419252
11,1011,1020231,tapped_esn,65,53,4,0.0464158883361278,0.387146591205084,0.850117516918284
11,1011,1020231,tapped_esn,129,118,9,0.00464158883361278,0.386703305381716,0.850460553606855
11,1011,1020231,tapped_esn,257,248,19,1e-06,0.339318046563451,0.884863263276364
