seedIndex,conditionIndex,condition,capacityType,lagA,lagB,capacity
4,1,"J=0, heterogeneous, both",cross_product,1,9,0.00615439266222217
4,1,"J=0, heterogeneous, both",cross_product,1,10,0.00930991077320875
4,1,"J=0, heterogeneous, both",cross_product,2,3,0.0143628149190622
4,1,"J=0, heterogeneous, both",cross_product,2,4,0.0162412555275012
4,1,"J=0, heterogeneous, both",cross_product,2,5,0.0115419061319607
4,1,"J=0, heterogeneous, both",cross_product,2,6,0.0119976907336815
4,1,"J=0, heterogeneous, both",cross_product,2,7,0.0108608660563653
4,1,"J=0, heterogeneous, both",cross_product,2,8,0.0079680857082729
4,1,"J=0, heterogeneous, both",cross_product,2,9,0
4,1,"J=0, heterogeneous, both",cross_product,2,10,0.00512602421067521
4,1,"J=0, heterogeneous, both",cross_product,3,4,0.0124489186778218
4,1,"J=0, heterogeneous, both",cross_product,3,5,0.0156956665243788
4,1,"J=0, heterogeneous, both",cross_product,3,6,0.00976984145108239
4,1,"J=0, heterogeneous, both",cross_product,3,7,0.0131797773821154
4,1,"J=0, heterogeneous, both",cross_product,3,8,0.00967886557459385
4,1,"J=0, heterogeneous, both",cross_product,3,9,0.00862118763894848
4,1,"J=0, heterogeneous, both",cross_product,3,10,0
4,1,"J=0, heterogeneous, both",cross_product,4,5,0.0103488428200377
4,1,"J=0, heterogeneous, both",cross_product,4,6,0.0138142601753487
4,1,"J=0, heterogeneous, both",cross_product,4,7,0.00799568036523401
4,1,"J=0, heterogeneous, both",cross_product,4,8,0.0120317339151937
4,1,"J=0, heterogeneous, both",cross_product,4,9,0.00889596252927494
4,1,"J=0, heterogeneous, both",cross_product,4,10,0.00919181639239763
4,1,"J=0, heterogeneous, both",cross_product,5,6,0.00963776806335803
4,1,"J=0, heterogeneous, both",cross_product,5,7,0.0115880243506173
4,1,"J=0, heterogeneous, both",cross_product,5,8,0.0078394464888234
4,1,"J=0, heterogeneous, both",cross_product,5,9,0.0106924806601602
4,1,"J=0, heterogeneous, both",cross_product,5,10,0.00794946502220129
4,1,"J=0, heterogeneous, both",cross_product,6,7,0.00822444325917171
4,1,"J=0, heterogeneous, both",cross_product,6,8,0.011094900303169
4,1,"J=0, heterogeneous, both",cross_product,6,9,0.00623067362906304
4,1,"J=0, heterogeneous, both",cross_product,6,10,0.0114298298714282
4,1,"J=0, heterogeneous, both",cross_product,7,8,0.00658868653385625
4,1,"J=0, heterogeneous, both",cross_product,7,9,0.00959223512195051
4,1,"J=0, heterogeneous, both",cross_product,7,10,0.00501953628263474
4,1,"J=0, heterogeneous, both",cross_product,8,9,0.00693520001829373
4,1,"J=0, heterogeneous, both",cross_product,8,10,0.00927842328529249
4,1,"J=0, heterogeneous, both",cross_product,9,10,0.00545309470398381
5,1,"J=0, heterogeneous, both",linear,1,0,0.857569860927861
5,1,"J=0, heterogeneous, both",linear,2,0,0.420145918148303
5,1,"J=0, heterogeneous, both",linear,3,0,0.417684639013
5,1,"J=0, heterogeneous, both",linear,4,0,0.346997789430447
5,1,"J=0, heterogeneous, both",linear,5,0,0.332944224899862
5,1,"J=0, heterogeneous, both",linear,6,0,0.33139225209508
5,1,"J=0, heterogeneous, both",linear,7,0,0.304881682419799
5,1,"J=0, heterogeneous, both",linear,8,0,0.299445499635415
5,1,"J=0, heterogeneous, both",linear,9,0,0.300680859716544
5,1,"J=0, heterogeneous, both",linear,10,0,0.289515350344885
5,1,"J=0, heterogeneous, both",linear,11,0,0.283163010418614
5,1,"J=0, heterogeneous, both",linear,12,0,0.286090536608394
5,1,"J=0, heterogeneous, both",linear,13,0,0.284640698011124
5,1,"J=0, heterogeneous, both",linear,14,0,0.273218419697883
5,1,"J=0, heterogeneous, both",linear,15,0,0.274657596143254
5,1,"J=0, heterogeneous, both",linear,16,0,0.275024750886698
5,1,"J=0, heterogeneous, both",linear,17,0,0.269403388159862
5,1,"J=0, heterogeneous, both",linear,18,0,0.265716238581615
5,1,"J=0, heterogeneous, both",linear,19,0,0.267059667614518
5,1,"J=0, heterogeneous, both",linear,20,0,0.265885134344166
5,1,"J=0, heterogeneous, both",quadratic,1,1,0
5,1,"J=0, heterogeneous, both",quadratic,2,2,0.000200157656727873
5,1,"J=0, heterogeneous, both",quadratic,3,3,0.00240904048963209
5,1,"J=0, heterogeneous, both",quadratic,4,4,0.00261867374560842
5,1,"J=0, heterogeneous, both",quadratic,5,5,0.00435187623614253
5,1,"J=0, heterogeneous, both",quadratic,6,6,0.00497683978770058
5,1,"J=0, heterogeneous, both",quadratic,7,7,0.00437666686728122
5,1,"J=0, heterogeneous, both",quadratic,8,8,0.00358654088816335
5,1,"J=0, heterogeneous, both",quadratic,9,9,0.00150979238826787
5,1,"J=0, heterogeneous, both",quadratic,10,10,0.000627862342421626
5,1,"J=0, heterogeneous, both",cross_product,1,2,0.0161483396608199
5,1,"J=0, heterogeneous, both",cross_product,1,3,0.0199007529589027
5,1,"J=0, heterogeneous, both",cross_product,1,4,0.0180951696840933
5,1,"J=0, heterogeneous, both",cross_product,1,5,0.0128374788195527
5,1,"J=0, heterogeneous, both",cross_product,1,6,0.0266191485663853
5,1,"J=0, heterogeneous, both",cross_product,1,7,0.0145847020837442
5,1,"J=0, heterogeneous, both",cross_product,1,8,0.0135504151097023
5,1,"J=0, heterogeneous, both",cross_product,1,9,0.00270191901505634
5,1,"J=0, heterogeneous, both",cross_product,1,10,0.00364918446895457
5,1,"J=0, heterogeneous, both",cross_product,2,3,0.0190557551451502
5,1,"J=0, heterogeneous, both",cross_product,2,4,0.0213351949656214
5,1,"J=0, heterogeneous, both",cross_product,2,5,0.0158864502365853
5,1,"J=0, heterogeneous, both",cross_product,2,6,0.0153582266326138
5,1,"J=0, heterogeneous, both",cross_product,2,7,0.0209881250088896
5,1,"J=0, heterogeneous, both",cross_product,2,8,0.0104330942977874
5,1,"J=0, heterogeneous, both",cross_product,2,9,0.0110372636416224
5,1,"J=0, heterogeneous, both",cross_product,2,10,0.00131646535710683
5,1,"J=0, heterogeneous, both",cross_product,3,4,0.0184863345432433
5,1,"J=0, heterogeneous, both",cross_product,3,5,0.0203329896998095
5,1,"J=0, heterogeneous, both",cross_product,3,6,0.0178880706048415
5,1,"J=0, heterogeneous, both",cross_product,3,7,0.0153039852298678
5,1,"J=0, heterogeneous, both",cross_product,3,8,0.0137214637501835
5,1,"J=0, heterogeneous, both",cross_product,3,9,0.00611777056051666
5,1,"J=0, heterogeneous, both",cross_product,3,10,0.00856669157567935
5,1,"J=0, heterogeneous, both",cross_product,4,5,0.0190000486639079
5,1,"J=0, heterogeneous, both",cross_product,4,6,0.0181703903578683
5,1,"J=0, heterogeneous, both",cross_product,4,7,0.0155821352009277
5,1,"J=0, heterogeneous, both",cross_product,4,8,0.01205883827176
5,1,"J=0, heterogeneous, both",cross_product,4,9,0.00966100725311037
5,1,"J=0, heterogeneous, both",cross_product,4,10,0.00203150942880126
5,1,"J=0, heterogeneous, both",cross_product,5,6,0.0201568926596539
5,1,"J=0, heterogeneous, both",cross_product,5,7,0.0143987460264655
5,1,"J=0, heterogeneous, both",cross_product,5,8,0.0116036743638183
5,1,"J=0, heterogeneous, both",cross_product,5,9,0.00755791007566631
5,1,"J=0, heterogeneous, both",cross_product,5,10,0.00477335215544583
5,1,"J=0, heterogeneous, both",cross_product,6,7,0.0190955170247283
5,1,"J=0, heterogeneous, both",cross_product,6,8,0.0123204423989001
5,1,"J=0, heterogeneous, both",cross_product,6,9,0.00809427467852719
5,1,"J=0, heterogeneous, both",cross_product,6,10,0.00427387161308557
5,1,"J=0, heterogeneous, both",cross_product,7,8,0.0149124201649966
5,1,"J=0, heterogeneous, both",cross_product,7,9,0.0078712199338522
5,1,"J=0, heterogeneous, both",cross_product,7,10,0.00492728188487501
5,1,"J=0, heterogeneous, both",cross_product,8,9,0.00872788354582077
5,1,"J=0, heterogeneous, both",cross_product,8,10,0.00216358510140824
5,1,"J=0, heterogeneous, both",cross_product,9,10,0.00320034549306769
6,1,"J=0, heterogeneous, both",linear,1,0,0.815671201475471
6,1,"J=0, heterogeneous, both",linear,2,0,0.418362154937954
6,1,"J=0, heterogeneous, both",linear,3,0,0.411177390140822
6,1,"J=0, heterogeneous, both",linear,4,0,0.361110714536907
6,1,"J=0, heterogeneous, both",linear,5,0,0.352147609716488
6,1,"J=0, heterogeneous, both",linear,6,0,0.349018701939987
6,1,"J=0, heterogeneous, both",linear,7,0,0.333750527912205
6,1,"J=0, heterogeneous, both",linear,8,0,0.3304371869131
6,1,"J=0, heterogeneous, both",linear,9,0,0.326838892327049
6,1,"J=0, heterogeneous, both",linear,10,0,0.31886213111072
6,1,"J=0, heterogeneous, both",linear,11,0,0.318449491002622
6,1,"J=0, heterogeneous, both",linear,12,0,0.317374788915751
6,1,"J=0, heterogeneous, both",linear,13,0,0.311682641021486
6,1,"J=0, heterogeneous, both",linear,14,0,0.308234165946905
6,1,"J=0, heterogeneous, both",linear,15,0,0.307805860005334
6,1,"J=0, heterogeneous, both",linear,16,0,0.303602497768503
6,1,"J=0, heterogeneous, both",linear,17,0,0.301479527422482
6,1,"J=0, heterogeneous, both",linear,18,0,0.301920497835355
6,1,"J=0, heterogeneous, both",linear,19,0,0.302274666461522
6,1,"J=0, heterogeneous, both",linear,20,0,0.291999941696905
6,1,"J=0, heterogeneous, both",quadratic,1,1,0
6,1,"J=0, heterogeneous, both",quadratic,2,2,0
