readoutId,readoutTrajectoryId,requestedVirtualSamples,actualVirtualSamples,virtualNodeIdx,tapSetIndex,tapDelays,nDelayBlocks,nPC,actualCoefficientsIncludingBias,rawQuadratureDimension
213,54,6,6,11;20;29;37;46;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
214,54,6,6,11;20;29;37;46;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
215,54,10,10,11;16;21;26;31;35;40;45;50;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
216,54,10,10,11;16;21;26;31;35;40;45;50;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
217,55,6,6,7;13;18;24;29;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
218,55,6,6,7;13;18;24;29;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
219,55,10,10,7;10;13;16;19;23;26;29;32;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
220,55,10,10,7;10;13;16;19;23;26;29;32;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
221,56,6,6,11;20;29;37;46;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
222,56,6,6,11;20;29;37;46;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
223,56,10,10,11;16;21;26;31;35;40;45;50;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
224,56,10,10,11;16;21;26;31;35;40;45;50;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
225,57,6,6,7;13;18;24;29;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
226,57,6,6,7;13;18;24;29;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
227,57,10,10,7;10;13;16;19;23;26;29;32;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
228,57,10,10,7;10;13;16;19;23;26;29;32;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
229,58,6,6,11;20;29;37;46;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
230,58,6,6,11;20;29;37;46;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
231,58,10,10,11;16;21;26;31;35;40;45;50;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
232,58,10,10,11;16;21;26;31;35;40;45;50;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
