caseLabel,featureMode,variant,K,J,nPC,tapDelays,readoutCoefficients,valNRMSE,testNRMSE,R2true,lambdaBest,lockedIndex
K+0_J0.65,number_features,Budget513,0,0.65,39,0;1;2;3;4;5;6;7;8;9;10;12;15,508,0.292992640501673,0.298887654738892,0.910666169844685,0.000215443469003188,5
K+0_J0.65,number_features,Budget1025,0,0.65,78,0;1;2;3;4;5;6;7;8;9;10;12;15,1015,0.263892539734969,0.272353475733069,0.925823584256117,2.15443469003189e-06,5
K+0_J0.65,number_features,Budget2049,0,0.65,157,0;1;2;3;4;5;6;7;8;9;10;12;15,2042,0.258880670622084,0.264065890585734,0.930269205429163,100,5
K+0_J0,linear_features,Budget65,0,0,4,0;1;2;3;4;5;6;7;8;9;10;12;15,53,0.379186668680658,0.389247663229279,0.848486256670546,0.000464158883361278,6
K+0_J0,linear_features,Budget129,0,0,9,0;1;2;3;4;5;6;7;8;9;10;12;15,118,0.3654948210825,0.367100108682442,0.865237510205339,0.000464158883361278,6
K+0_J0,linear_features,Budget257,0,0,19,0;1;2;3;4;5;6;7;8;9;10;12;15,248,0.320829474416373,0.315030672637178,0.900755675297767,0.00464158883361278,6
K+0_J0,linear_features,Budget351,0,0,26,0;1;2;3;4;5;6;7;8;9;10;12;15,339,0.319926044673057,0.311648926647038,0.902874946519749,0.01,6
K+0_J0,linear_features,Budget513,0,0,39,0;1;2;3;4;5;6;7;8;9;10;12;15,508,0.320339965586019,0.311340215174107,0.903067270415341,0.0464158883361278,6
K+0_J0,linear_features,Budget1025,0,0,78,0;1;2;3;4;5;6;7;8;9;10;12;15,1015,0.317652002492712,0.309396544661018,0.904273778151823,21.5443469003188,6
K+0_J0,linear_features,Budget2049,0,0,157,0;1;2;3;4;5;6;7;8;9;10;12;15,2042,0.323826598789584,0.309366204426162,0.90429255155895,1000,6
K+0_J0,number_features,Budget65,0,0,4,0;1;2;3;4;5;6;7;8;9;10;12;15,53,0.379257648639855,0.389729065397748,0.848111255584198,1e-06,6
K+0_J0,number_features,Budget129,0,0,9,0;1;2;3;4;5;6;7;8;9;10;12;15,118,0.331119018523847,0.329984011915058,0.891110551880443,4.64158883361278e-05,6
K+0_J0,number_features,Budget257,0,0,19,0;1;2;3;4;5;6;7;8;9;10;12;15,248,0.324658803946314,0.312260290003247,0.902493511287088,0.0001,6
K+0_J0,number_features,Budget351,0,0,26,0;1;2;3;4;5;6;7;8;9;10;12;15,339,0.323932279598273,0.313065326803076,0.901990101153683,0.000464158883361278,6
K+0_J0,number_features,Budget513,0,0,39,0;1;2;3;4;5;6;7;8;9;10;12;15,508,0.321889533672659,0.30950095687423,0.904209157693936,0.0001,6
K+0_J0,number_features,Budget1025,0,0,78,0;1;2;3;4;5;6;7;8;9;10;12;15,1015,0.320857687059386,0.306624270049271,0.905981557016752,4.64158883361278,6
K+0_J0,number_features,Budget2049,0,0,157,0;1;2;3;4;5;6;7;8;9;10;12;15,2042,0.322613926631501,0.303309310285241,0.908003462294292,464.158883361278,6
